instance_id,size,instance_index,instance_seed,power_pressure_class,terminal_max_power,energy_min,energy_max,initial_power_min,initial_power_max,mean_energy_missing,std_energy_missing,mean_initial_power,std_initial_power,mean_power_pressure_ratio,aggregate_power_pressure_ratio
n0020_i01,20,1,1001020,medium,145.3707681525272,173.36331090319055,687.0203899305748,21.46905839296214,67.72629484592503,444.67710660204204,145.43740551170788,42.12600206771511,11.732263968889875,0.28978317032427936,5.795663406485587
n0020_i02,20,2,1001021,low,160.98004696875347,103.34025628614354,796.1607737680088,12.91888800944533,44.849571864435596,481.3654235825514,210.97534393196491,29.044338427277825,9.220701168172754,0.18042197759400197,3.6084395518800396
n0020_i03,20,3,1001022,high,111.74755763819748,141.17180065100672,913.822557762834,15.971167323518458,69.8410970482687,486.0604986539941,234.3470947658496,42.199929796779195,18.517457599421576,0.3776362605920117,7.552725211840235
n0020_i04,20,4,1001023,high,129.2616220433784,232.0458340497287,1086.1917057484038,18.65849799645334,68.04878617200342,705.3039356331442,257.24222431364797,49.016578643280624,12.652703192703763,0.37920442176434505,7.584088435286901
n0020_i05,20,5,1001024,medium,92.6821905457707,117.02645047047949,765.9304746421418,12.37818353017381,50.45721514448684,453.1858196807996,193.1640144645193,30.557792453154,12.13979199464849,0.3297051167350557,6.594102334701114
n0020_i06,20,6,1001025,low,168.68659363213266,215.34961249105294,1138.5069840751923,22.778643930730752,64.49957318038062,797.4955629692014,223.9607162988584,44.38973492987539,12.784565784260515,0.26314915710894826,5.262983142178965
n0050_i01,50,1,2001050,medium,173.0706045202006,188.15927973244465,693.0326154251552,21.435212449651,70.91104953720512,456.81031531992556,125.05340375431972,49.763673531862004,14.306104763333426,0.2875339441369643,14.376697206848217
n0050_i02,50,2,2001051,high,115.8352462937573,243.51297882119826,1050.166409180006,24.050827911094554,62.34507408915492,671.1086855196914,220.62828584993588,40.873249049210315,10.038614459015164,0.3528567543729831,17.64283771864915
n0050_i03,50,3,2001052,medium,131.53145242466593,204.8312063565303,1105.8944901354575,16.14090243901793,58.79423197077066,699.6959449579292,251.99867993421142,36.96255566059697,10.811672420818555,0.2810168593079827,14.050842965399138
n0050_i04,50,4,2001053,low,139.4107418673989,90.59417628149612,704.3329042382102,10.934760284720557,52.79706084805184,415.9088607640678,170.09832269397967,31.03097369406682,11.9808114737496,0.22258667645268007,11.129333822634003
n0050_i05,50,5,2001054,high,104.10485858134318,110.97629176948844,852.2358750620646,18.917886455624156,52.657049499283346,514.9938711280939,220.5499046576931,35.75767086212174,10.179763929549482,0.34347744523549006,17.173872261774502
n0050_i06,50,6,2001055,low,160.9530839800383,159.51841848781146,1130.151154515945,14.122877275406267,66.80596028294207,658.2642585790104,278.7329266246766,39.27090592343231,15.36101948068801,0.24398976989035365,12.199488494517682
n0100_i01,100,1,3001100,medium,158.03407357846478,173.86734375396986,1019.8462237762924,24.027511126725777,70.81726215616935,600.1027366004976,250.8086021438228,46.267892545281086,12.84622374044868,0.2927716251160787,29.277162511607866
n0100_i02,100,2,3001101,high,90.29679762489987,123.47251385031623,907.0193507062248,21.70447587445237,60.74864883055304,532.8210177037021,202.80010491044823,39.61133040470643,11.013003947906023,0.43867923831867295,43.867923831867294
n0100_i03,100,3,3001102,high,131.81531808710767,101.30937234218163,833.7729272894499,12.760838676508033,63.82704273861006,500.84658216448383,208.8726120605414,40.95785339976293,14.35997902020374,0.3107215003092183,31.072150030921826
n0100_i04,100,4,3001103,low,165.82265334857797,222.5901132319236,1142.9807246021946,19.008277620888215,52.06558926205207,700.9212725727078,266.3719025781542,34.9188361876709,9.439751598885746,0.21057940807561168,21.057940807561167
n0100_i05,100,5,3001104,medium,119.78155183176284,202.75179275657752,812.4360079716453,16.44518037517806,53.11295004246731,521.0354652443759,165.59197055172444,37.01940349867949,11.125796536717475,0.3090576381133755,30.905763811337547
n0100_i06,100,6,3001105,low,145.3424837769674,156.6240929309658,714.9694163091863,10.648855948164254,54.3476513354411,425.0094166620433,155.2874172382508,34.65610681327388,12.99138848656087,0.2384444376666547,23.84444376666547
n0200_i01,200,1,4001200,medium,159.46429187968855,244.42463907522665,1136.0238139072765,21.16162221605606,66.15699134250019,711.3247448910753,263.33157714938653,44.11614281801268,12.894817493784608,0.27665217270896675,55.33043454179336
n0200_i02,200,2,4001201,high,99.02785759437916,154.09152663537202,852.0502786910853,17.814670852819326,54.564634638550416,506.04754474331423,198.19188338168829,36.96235702946804,10.265428481476041,0.3732521123587958,74.65042247175916
n0200_i03,200,3,4001202,low,128.7246002274428,107.13094470714239,687.2563867927831,12.795348833278158,43.81432780275961,411.289814476547,168.82160977049253,27.500369589033227,8.627643414910802,0.2136372499152685,42.727449983053695
n0200_i04,200,4,4001203,low,169.1076599701788,168.0119782394696,774.1667743541568,10.325900062705962,59.15807171007248,469.2589156236517,173.71669474989918,33.93927951705142,14.2559337686557,0.20069628734166403,40.13925746833281
n0200_i05,200,5,4001204,high,139.04021199616182,199.90689444914398,1125.4864564069362,23.701676025183,77.85086002301725,671.941835768251,261.0561788777311,51.23618016211101,15.344986259111362,0.3684990077800326,73.69980155600652
